Sun Apr 22 18:38:15 2018    simple_plot_profile_3.prof

         256094 function calls (251833 primitive calls) in 64.321 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   64.328   64.328 simple_plot.py:1(<module>)
        1    0.000    0.000   62.776   62.776 /home/pablo/Santiago/otros/dq-python/quad-diff/quaddiff/__init__.py:42(phase_plot)
        1    0.000    0.000   62.776   62.776 /home/pablo/Santiago/otros/dq-python/quad-diff/quaddiff/plot/baseplotter.py:142(get_phase_plot)
        1    0.000    0.000   61.832   61.832 /home/pablo/Santiago/otros/dq-python/quad-diff/quaddiff/plot/baseplotter.py:61(calculate_trajectories)
        1    0.000    0.000   61.831   61.831 /home/pablo/Santiago/otros/dq-python/quad-diff/quaddiff/core/trajectory.py:154(parallel_calculate)
        1    0.000    0.000   61.807   61.807 /usr/lib/python2.7/multiprocessing/pool.py:458(join)
      166   61.803    0.372   61.803    0.372 {method 'acquire' of 'thread.lock' objects}
        6    0.000    0.000   61.803   10.301 /usr/lib/python2.7/threading.py:308(wait)
        6    0.000    0.000   61.803   10.300 /usr/lib/python2.7/threading.py:911(join)
        1    0.001    0.001    1.550    1.550 /home/pablo/Santiago/otros/dq-python/quad-diff/quaddiff/__init__.py:1(<module>)
        1    0.000    0.000    1.102    1.102 /home/pablo/Santiago/otros/dq-python/quad-diff/quaddiff/plot/__init__.py:1(<module>)
        1    0.005    0.005    1.101    1.101 /home/pablo/Santiago/otros/dq-python/quad-diff/quaddiff/plot/matplotlibplotter.py:1(<module>)
        1    0.000    0.000    0.945    0.945 /home/pablo/Santiago/otros/dq-python/quad-diff/quaddiff/plot/matplotlibplotter.py:85(plot)
        1    0.014    0.014    0.710    0.710 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/pyplot.py:19(<module>)
        1    0.000    0.000    0.508    0.508 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/pyplot.py:1084(subplots)
        1    0.000    0.000    0.429    0.429 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/pyplot.py:431(figure)
        1    0.000    0.000    0.428    0.428 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/backend_bases.py:153(new_figure_manager)
        1    0.000    0.000    0.426    0.426 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/backends/_backend_tk.py:1038(new_figure_manager_given_figure)
        1    0.004    0.004    0.343    0.343 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/colorbar.py:20(<module>)
        1    0.000    0.000    0.328    0.328 /usr/lib/python2.7/lib-tk/Tkinter.py:1747(__init__)
        1    0.327    0.327    0.327    0.327 {_tkinter.create}
     2118    0.013    0.000    0.324    0.000 /home/pablo/.virtualenvs/quaddiff/lib/python2.7/re.py:226(_compile)
      129    0.003    0.000    0.304    0.002 /home/pablo/.virtualenvs/quaddiff/lib/python2.7/sre_compile.py:493(compile)
        1    0.007    0.007    0.304    0.304 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/__init__.py:101(<module>)
      120    0.001    0.000    0.298    0.002 /home/pablo/.virtualenvs/quaddiff/lib/python2.7/re.py:188(compile)
        1    0.008    0.008    0.272    0.272 /home/pablo/Santiago/otros/dq-python/quad-diff/quaddiff/core/__init__.py:1(<module>)
        1    0.000    0.000    0.261    0.261 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/pyplot.py:707(savefig)
        1    0.000    0.000    0.261    0.261 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/figure.py:1929(savefig)
        1    0.000    0.000    0.261    0.261 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/backend_bases.py:2107(print_figure)
        1    0.000    0.000    0.256    0.256 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/backends/backend_agg.py:512(print_png)
        1    0.002    0.002    0.249    0.249 /home/pablo/Santiago/otros/dq-python/quad-diff/quaddiff/core/trajectory.py:1(<module>)
        1    0.005    0.005    0.189    0.189 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/contour.py:3(<module>)
        1    0.000    0.000    0.189    0.189 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/backends/backend_agg.py:421(draw)
     22/1    0.001    0.000    0.186    0.186 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/artist.py:47(draw_wrapper)
        1    0.000    0.000    0.186    0.186 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/figure.py:1438(draw)
      2/1    0.000    0.000    0.183    0.183 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/image.py:123(_draw_list_compositing_images)
        1    0.000    0.000    0.183    0.183 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/axes/_base.py:2528(draw)
        1    0.002    0.002    0.180    0.180 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/scipy/integrate/__init__.py:86(<module>)
      129    0.002    0.000    0.177    0.001 /home/pablo/.virtualenvs/quaddiff/lib/python2.7/sre_parse.py:675(parse)
        1    0.004    0.004    0.175    0.175 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/numpy/__init__.py:106(<module>)
        1    0.004    0.004    0.174    0.174 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/rcsetup.py:15(<module>)
  365/129    0.007    0.000    0.172    0.001 /home/pablo/.virtualenvs/quaddiff/lib/python2.7/sre_parse.py:301(_parse_sub)
  471/136    0.045    0.000    0.169    0.001 /home/pablo/.virtualenvs/quaddiff/lib/python2.7/sre_parse.py:379(_parse)
        1    0.001    0.001    0.164    0.164 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/figure.py:12(<module>)
        1    0.004    0.004    0.163    0.163 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/fontconfig_pattern.py:7(<module>)
       27    0.001    0.000    0.154    0.006 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/__init__.py:1120(rc_params_from_file)
        1    0.001    0.001    0.151    0.151 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/axes/__init__.py:1(<module>)
        1    0.004    0.004    0.150    0.150 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/axes/_subplots.py:1(<module>)
        1    0.005    0.005    0.147    0.147 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/text.py:3(<module>)
        1    0.003    0.003    0.142    0.142 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/pyparsing.py:61(<module>)
        1    0.001    0.001    0.135    0.135 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/numpy/add_newdocs.py:10(<module>)
        1    0.000    0.000    0.134    0.134 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/style/__init__.py:1(<module>)
        1    0.000    0.000    0.133    0.133 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/style/core.py:1(<module>)
       27    0.024    0.001    0.132    0.005 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/__init__.py:1042(_rc_params_in_file)
        1    0.000    0.000    0.132    0.132 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/style/core.py:159(load_base_library)
        1    0.001    0.001    0.132    0.132 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/style/core.py:191(read_style_directory)
        1    0.005    0.005    0.123    0.123 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/numpy/lib/__init__.py:1(<module>)
      129    0.001    0.000    0.123    0.001 /home/pablo/.virtualenvs/quaddiff/lib/python2.7/sre_compile.py:478(_code)
    99/98    0.115    0.001    0.120    0.001 {built-in method call}
        1    0.003    0.003    0.119    0.119 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/collections.py:10(<module>)
       11    0.000    0.000    0.117    0.011 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/artist.py:1475(kwdoc)
        1    0.011    0.011    0.117    0.117 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/axes/_axes.py:1(<module>)
     1490    0.009    0.000    0.113    0.000 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/__init__.py:897(__setitem__)
        1    0.000    0.000    0.111    0.111 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/scipy/integrate/quadrature.py:1(<module>)
        1    0.006    0.006    0.111    0.111 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/scipy/special/__init__.py:634(<module>)
        1    0.004    0.004    0.103    0.103 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/scipy/special/basic.py:5(<module>)
        1    0.036    0.036    0.100    0.100 /home/pablo/Santiago/otros/dq-python/quad-diff/quaddiff/plot/matplotlibplotter.py:28(plot_lines)
        1    0.000    0.000    0.100    0.100 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/legend.py:758(draw)
        1    0.000    0.000    0.099    0.099 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/scipy/special/orthogonal.py:72(<module>)
        1    0.007    0.007    0.098    0.098 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/scipy/linalg/__init__.py:180(<module>)
  921/129    0.030    0.000    0.096    0.001 /home/pablo/.virtualenvs/quaddiff/lib/python2.7/sre_compile.py:32(_compile)
        1    0.004    0.004    0.091    0.091 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/textpath.py:3(<module>)
       11    0.004    0.000    0.087    0.008 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/artist.py:1228(pprint_setters)
        1    0.000    0.000    0.086    0.086 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/scipy/linalg/misc.py:1(<module>)
        1    0.002    0.002    0.084    0.084 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/scipy/linalg/lapack.py:437(<module>)
        1    0.001    0.001    0.082    0.082 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/scipy/_lib/_util.py:1(<module>)
        1    0.001    0.001    0.081    0.081 /usr/lib/python2.7/inspect.py:25(<module>)
        1    0.002    0.002    0.081    0.081 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/animation.py:20(<module>)
        1    0.000    0.000    0.080    0.080 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/figure.py:1247(subplots)
        1    0.000    0.000    0.079    0.079 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/figure.py:1145(add_subplot)
      858    0.022    0.000    0.079    0.000 {any}
        1    0.000    0.000    0.079    0.079 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/axes/_subplots.py:25(__init__)
        1    0.003    0.003    0.078    0.078 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/mathtext.py:16(<module>)
        1    0.000    0.000    0.078    0.078 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/axes/_base.py:423(__init__)
        2    0.000    0.000    0.077    0.039 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/matplotlib/collections.py:258(draw)
        1    0.000    0.000    0.076    0.076 /home/pablo/.virtualenvs/quaddiff/local/lib/python2.7/site-packages/numpy/lib/type_check.py:3(<module>)
